strauss-kahn	9714
dominique	8988
say	8900
new	8705
imf	8292
-lrb-	7748
-rrb-	7724
international	7685
will	7525
fund	7440
york	7406
monetary	6947
may	6886
charge	6671
chief	6468
hotel	6269
make	6069
french	5955
one	5939
also	5699
head	5695
year	5592
former	5550
world	5483
assault	5474
time	5400
arrest	5289
take	5205
maid	5162
rape	5096
france	4922
can	4870
sexual	4845
come	4748
country	4748
tell	4744
get	4626
post	4566
news	4550
see	4544
report	4519
director	4485
next	4479
week	4469
first	4378
last	4371
now	4331
minister	4329
day	4285
2011	4282
leave	4228
bail	4167
try	4152
comment	4097
president	3941
attempt	3924
case	3924
...	3921
call	3892
since	3849
finance	3832
back	3826
lead	3801
like	3756
find	3735
two	3729
european	3726
want	3717
sex	3690
europe	3680
jail	3663
court	3627
resign	3609
include	3600
give	3590
candidate	3564
face	3522
woman	3509
financial	3478
deny	3464
press	3430
name	3414
top	3364
economy	3358
lawyer	3357
hold	3348
manage	3344
manhattan	3304
official	3303
think	3298
million	3287
use	3286
just	3272
leader	3271
house	3198
job	3187
people	3183
emerge	3166
island	3163
man	3160
release	3154
accuse	3147
know	3147
police	3123
work	3101
bank	3095
another	3094
even	3093
show	3078
media	3052
global	3023
run	2973
home	2969
u.s.	2967
support	2951
story	2928
monday	2924
add	2922
rikers	2903
many	2894
end	2887
way	2870
help	2867
look	2846
place	2817
force	2817
crisis	2813
wednesday	2800
share	2779
friday	2778
view	2771
nation	2755
state	2755
thursday	2752
follow	2738
attack	2728
city	2693
whether	2683
open	2673
keep	2670
judge	2657
john	2645
government	2638
position	2637
month	2630
believe	2628
expect	2624
alleged	2622
become	2620
political	2614
need	2606
allegation	2602
sexually	2597
board	2563
united	2561
set	2559
saturday	2527
possible	2510
move	2510
ask	2505
debt	2487
act	2470
economic	2455
washington	2452
public	2446
well	2442
member	2439
wife	2437
must	2436
remain	2433
three	2398
watch	2385
institution	2381
lagarde	2380
put	2373
accord	2366
american	2363
live	2357
email	2355
still	2352
christine	2338
term	2314
part	2310
power	2306
market	2304
states	2304
today	2295
politician	2292
speak	2290
business	2279
law	2269
criminal	2268
appear	2262
question	2257
long	2254
without	2243
around	2237
much	2203
good	2201
group	2197
life	2192
behind	2186
continue	2183
sofitel	2183
paris	2179
family	2178
publish	2167
consider	2155
suite	2153
prosecutor	2148
might	2143
issue	2132
claim	2127
room	2127
provide	2118
condition	2109
person	2103
statement	2099
right	2096
victim	2092
32-year-old	2092
executive	2075
attorney	2074
likely	2073
times	2066
develop	2065
write	2055
least	2055
hour	2055
free	2052
reserve	2047
apartment	2045
role	2043
agree	2040
point	2036
turn	2031
resignation	2029
west	2018
prison	2005
close	2005
policy	2001
begin	2000
change	1995
bring	1994
ago	1983
start	1981
stay	1978
process	1970
economist	1969
evidence	1945
deal	1935
security	1932
rights	1924
trial	1922
presidential	1919
election	1912
china	1909
night	1898
later	1896
copyright	1895
meeting	1894
service	1892
guard	1890
pay	1890
central	1888
party	1885
order	1885
associated	1866
break	1864
plan	1864
abuse	1858
hearing	1854
high	1850
send	1841
however	1839
video	1826
thing	1817
away	1803
problem	1800
powerful	1797
talk	1794
african	1793
clear	1793
letter	1792
recent	1790
yet	1786
meet	1783
sarkozy	1775
managing	1762
south	1762
africa	1759
suggest	1756
fall	1751
great	1747
spend	1744
read	1738
interest	1735
feel	1733
allow	1725
best	1724
play	1719
national	1716
among	1710
late	1702
authority	1701
already	1700
outside	1692
journalist	1692
decision	1691
rise	1682
bond	1678
potential	1671
socialist	1668
company	1668
seek	1665
62-year-old	1665
step	1661
tuesday	1660
happen	1658
source	1658
money	1657
private	1651
risk	1651
return	1650
involve	1643
pressure	1638
leadership	1635
office	1635
far	1635
television	1629
nicolas	1625
reporter	1619
system	1619
june	1607
personal	1602
child	1596
four	1593
argue	1590
building	1590
germany	1587
seem	1585
sign	1584
billion	1583
article	1582
earlier	1579
legal	1576
mean	1573
street	1573
photo	1572
past	1570
protect	1568
daughter	1559
information	1556
cash	1555
raise	1554
strong	1544
crime	1542
serve	1535
choose	1533
offer	1529
grow	1522
contact	1521
friend	1520
organization	1520
secretary	1517
sunday	1516
fight	1514
successor	1511
defense	1508
second	1505
enter	1501
please	1501
someone	1496
matter	1494
wear	1490
scandal	1486
never	1483
german	1479
vote	1477
though	1477
hope	1477
decide	1476
treasury	1472
affair	1470
prove	1458
decline	1457
daily	1456
greece	1453
require	1443
announce	1442
base	1441
note	1435
result	1434
rule	1428
account	1426
luxury	1422
oral	1421
euro	1418
visit	1417
interview	1416
every	1414
justice	1414
facebook	1409
current	1407
stand	1406
future	1403
important	1402
loan	1401
perform	1400
agency	1397
prime	1396
early	1392
grand	1391
reason	1391
replace	1385
search	1384
immigrant	1375
newspaper	1364
electronic	1359
armed	1358
innocence	1355
line	1354
major	1354
energy	1352
client	1350
big	1350
contribute	1346
